observation_date,MRTSSM45321USN
1992-01-01,788
1992-02-01,679
1992-03-01,692
1992-04-01,656
1992-05-01,697
1992-06-01,725
1992-07-01,775
1992-08-01,811
1992-09-01,795
1992-10-01,820
1992-11-01,803
1992-12-01,943
1993-01-01,875
1993-02-01,825
1993-03-01,832
1993-04-01,813
1993-05-01,846
1993-06-01,894
1993-07-01,883
1993-08-01,1004
1993-09-01,981
1993-10-01,961
1993-11-01,1038
1993-12-01,1175
1994-01-01,1102
1994-02-01,1040
1994-03-01,1040
1994-04-01,974
1994-05-01,1039
1994-06-01,1007
1994-07-01,999
1994-08-01,1249
1994-09-01,1185
1994-10-01,1081
1994-11-01,1171
1994-12-01,1348
1995-01-01,1287
1995-02-01,1175
1995-03-01,1162
1995-04-01,1021
1995-05-01,1195
1995-06-01,1163
1995-07-01,1120
1995-08-01,1456
1995-09-01,1322
1995-10-01,1225
1995-11-01,1261
1995-12-01,1437
1996-01-01,1371
1996-02-01,1297
1996-03-01,1184
1996-04-01,1131
1996-05-01,1235
1996-06-01,1105
1996-07-01,1256
1996-08-01,1436
1996-09-01,1314
1996-10-01,1332
1996-11-01,1337
1996-12-01,1594
1997-01-01,1686
1997-02-01,1448
1997-03-01,1394
1997-04-01,1345
1997-05-01,1291
1997-06-01,1234
1997-07-01,1330
1997-08-01,1551
1997-09-01,1529
1997-10-01,1526
1997-11-01,1310
1997-12-01,1690
1998-01-01,1730
1998-02-01,1516
1998-03-01,1584
1998-04-01,1412
1998-05-01,1392
1998-06-01,1421
1998-07-01,1512
1998-08-01,1675
1998-09-01,1866
1998-10-01,1760
1998-11-01,1663
1998-12-01,1991
1999-01-01,2018
1999-02-01,1812
1999-03-01,1815
1999-04-01,1649
1999-05-01,1571
1999-06-01,1611
1999-07-01,1517
1999-08-01,1966
1999-09-01,1965
1999-10-01,1772
1999-11-01,1796
1999-12-01,2108
2000-01-01,2098
2000-02-01,1977
2000-03-01,2029
2000-04-01,1736
2000-05-01,1766
2000-06-01,1703
2000-07-01,1611
2000-08-01,2128
2000-09-01,2019
2000-10-01,1920
2000-11-01,1767
2000-12-01,1994
2001-01-01,2013
2001-02-01,1781
2001-03-01,1839
2001-04-01,1503
2001-05-01,1586
2001-06-01,1487
2001-07-01,1520
2001-08-01,2090
2001-09-01,1697
2001-10-01,1648
2001-11-01,1658
2001-12-01,2063
2002-01-01,2042
2002-02-01,1734
2002-03-01,1722
2002-04-01,1616
2002-05-01,1567
2002-06-01,1403
2002-07-01,1531
2002-08-01,2012
2002-09-01,1778
2002-10-01,1764
2002-11-01,1701
2002-12-01,2091
2003-01-01,1994
